,Heating,Cooling,Parking,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed Price
40108,Central,Central Air,Garage,4,3.0,2391.0,6.0,5.0,7.0,"Carpet, Tile, Wood",Central,Central Air,Gas Cooktop,None,Garage,721510.0,8126.0,999000.0
40110,Electric,None,Detached,2,1.0,960.0,6.0,8.0,8.0,Hardwood,Electric,None,"Gas Water Heater, Gas Range, Range, Refrigerator","Dryer, Laundry Closet, Washer",Detached,49496.0,2461.0,850000.0
40114,Central,Central Air,On Street,3,2.0,1909.0,5.0,6.0,8.0,"Wood, Tile",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Oven, Built-In, Gas Cooktop, Double Oven, Range Hood, Range, Washer, Dryer",Inside,On Street,1179847.0,14324.0,1399000.0
40118,"Heat Pump, Central",Central Air,"Garage, Garage - Attached, Covered",3,2.0,2011.0,8.0,8.0,9.0,"Wood, Carpet, Tile, Linoleum/Vinyl","Forced air, Heat pump, Electric",Central,"Dishwasher, Garbage disposal, Microwave",Inside Room,"Garage, Garage - Attached, Covered",488479.0,5316.0,544900.0
40120,Central,Central Air,"Converted Garage, Open, Permit Required, On Street",3,2.0,1602.0,2.0,3.0,4.0,Wood,Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,"Converted Garage, Open, Permit Required, On Street",893520.0,11893.0,938500.0
40127,Central,Central Air,"Garage, Garage - Attached, Covered",4,4.0,2550.0,4.0,3.0,4.0,"Carpet, Stone","Forced air, Electric, Gas",Central,"Dishwasher, Garbage disposal, Microwave","Laundry Chute, Sink, cabinets, Inside Room","Garage, Garage - Attached, Covered",553114.0,6613.0,1250000.0
40133,"Gas, Central Forced Air, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered","Master Suite / Retreat, Walk-in Closet",3.0,2017.0,6.0,6.0,7.0,"Tile, Hardwood, Laminate","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Gas Hookup, Electricity Hookup (110V)","Garage, Garage - Attached, Covered",603121.0,7321.0,1898000.0
40142,Central,Central Air,"Garage, Driveway",2,2.0,1394.0,4.0,4.0,6.0,Wood,Central,Central Air,"Refrigerator, Dishwasher","Inside, Common Area","Garage, Driveway",992900.0,12137.0,979000.0
40155,Natural Gas,None,"Off Site, On Street, Garage, Garage - Single Door",2,1.0,988.0,5.0,5.0,4.0,Wood,Natural Gas,None,"Dishwasher, Dryer",In Kitchen,"Off Site, On Street, Garage, Garage - Single Door",284325.0,3501.0,495000.0
40158,"Heating - 2+ Zones, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, Walk-in Closet",5.0,4521.0,6.0,5.0,6.0,"Tile, Wood, Carpet","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven, Trash compactor",Inside,"Garage, Garage - Attached, Covered",1695809.0,21298.0,2249000.0
40160,Central Forced Air - Gas,Other,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor",2.0,1315.0,6.0,6.0,7.0,"Tile, Wood","Forced air, Gas",Other,"Garbage disposal, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",218053.0,2725.0,1420000.0
40163,Central Forced Air - Gas,Other,"Garage, Garage - Attached, Covered",4,3.0,2651.0,8.0,6.0,7.0,Hardwood,"Forced air, Gas","Central, Other","Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",1255683.0,16320.0,1668000.0
40171,Central,Central Air,"Garage, Carport, Covered",4,2.0,1812.0,5.0,4.0,7.0,"Carpet, Other-Rmks",Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",Inside Room,"Garage, Carport, Covered",215910.0,2899.0,420000.0
40172,Central Forced Air,None,"Garage, Carport",2,1.0,690.0,2.0,4.0,3.0,Laminate,"Forced air, Gas",None,"Microwave, Refrigerator",Inside,"Garage, Carport",548290.0,7701.0,595000.0
40186,"Fireplace, Central Forced Air","Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",3,2.0,1686.0,3.0,5.0,7.0,"Tile, Laminate, Carpet, Other, Vinyl / Linoleum",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room","Garage, Garage - Attached, Covered",795906.0,8983.0,999000.0
40191,"Central, Wood Stove",Central Air,"Garage, Garage - Attached, Covered",3,2.0,1640.0,6.0,8.0,9.0,Laminate,"Forced air, Stove",Central,"Dishwasher, Garbage disposal, Microwave","Sink, cabinets, Inside Room","Garage, Garage - Attached, Covered",211612.0,2576.0,850000.0
40209,Central Forced Air,None,Garage - Attached,3,2.0,1350.0,6.0,3.0,5.0,Hardwood,Forced air,None,"Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",Washer / Dryer,Garage - Attached,55680.0,1324.0,988000.0
40210,Central,Central Air,"Garage, Garage - Detached, Covered",4,2.0,1450.0,6.0,2.0,6.0,Bamboo,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Dryer Included, Washer Included, In Garage","Garage, Garage - Detached, Covered",1059914.0,12838.0,1490000.0
40215,Central,Central Air,Driveway,3,1.0,1103.0,4.0,6.0,7.0,"Wood, Tile",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Range Hood, Range, Oven, Washer, Dryer",Inside,Driveway,489812.0,6073.0,799995.0
40216,Other,Other,"Carport, Garage - Detached, Mixed, Covered",3,1.0,987.0,4.0,3.0,5.0,"Hardwood, Laminate","Heat pump, Electric",Other,"Dryer, Refrigerator, Washer",Washer / Dryer,"Carport, Garage - Detached, Mixed, Covered",469808.0,6769.0,880000.0
40222,Central,Central Air,"Garage, Garage - Attached, Covered",4,2.0,1569.0,7.0,3.0,4.0,"Carpet, Laminate, Vinyl","Forced air, Electric",Central,"Dishwasher, Microwave, Refrigerator",Inside Area,"Garage, Garage - Attached, Covered",272156.0,3544.0,399000.0
40226,"Forced air, Gas",None,"Garage, Garage - Attached, Covered",4,4.0,2490.0,5.0,7.0,7.0,"Tile, Other, Carpet, Laminate, Slate","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer",Room,"Garage, Garage - Attached, Covered",856000.0,11174.0,1250000.0
40234,"Gas, Electric, Central Forced Air",None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,2326.0,4.0,5.0,6.0,"Hardwood, Carpet, Vinyl / Linoleum","Forced air, Electric, Gas",None,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Upper Floor, Washer / Dryer, Inside","Garage, Garage - Attached, Covered",659312.0,7871.0,1688000.0
40236,Natural Gas,Central Air,"Garage Door Opener, Attached, Garage, Off Street, Parking Lot, Electric Vehicle Charging Station(s), Garage Faces Front, RV Possible",4,2.0,1968.0,7.0,7.0,9.0,"Carpet, Laminate, Linoleum",Natural Gas,Central Air,"Dryer, Washer, Dishwasher, Electric Range, Disposal, Microwave, Free-Standing Range, Refrigerator","220 Volt Outlet, Cabinets, Dryer, Electric, Gas Dryer Hookup, Laundry Room, Washer","Garage Door Opener, Attached, Garage, Off Street, Parking Lot, Electric Vehicle Charging Station(s), Garage Faces Front, RV Possible",1014873.0,14791.0,1249000.0
40238,Central,Central Air,Garage,5,4.0,3245.0,9.0,7.0,6.0,"Wood, Tile",Central,Central Air,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan",Laundry Room,Garage,1415918.0,23263.0,2449000.0
40242,Other,Central,Off-street,2,1.0,820.0,5.0,7.0,7.0,"Other, Carpet",Other,Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Hall,Off-street,439048.0,6001.0,599000.0
40243,"Wall Furnace, Fireplace, Central Forced Air",Central AC,"Garage, Garage - Detached, Covered","Ground Floor Bedroom, More than One Bedroom on Ground Floor",2.0,1476.0,5.0,6.0,7.0,"Tile, Laminate","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Utility Room,"Garage, Garage - Detached, Covered",1114268.0,13345.0,1288888.0
40245,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",Master Suite / Retreat,3.0,2566.0,8.0,5.0,6.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Garbage disposal, Refrigerator","Inside, In Utility Room","Garage, Garage - Attached, Covered",1623646.0,20683.0,1899000.0
40250,Central Forced Air,None,"Garage, Garage - Detached",2,2.0,1194.0,3.0,6.0,7.0,"Hardwood, Carpet, Vinyl / Linoleum",Forced air,None,"Range / Oven, Refrigerator",Inside,"Garage, Garage - Detached",610100.0,7147.0,857000.0
40259,Central,Central Air,"Driveway, Garage - Single Door",4,3.0,2208.0,6.0,4.0,7.0,Laminate,Central,Central Air,"Gas & Electric Range, Gas Oven",Inside,"Driveway, Garage - Single Door",446108.0,5910.0,685000.0
40260,Central Forced Air,None,"Underground/Basement, Garage - Attached","Ground Floor Bedroom, Master Suite / Retreat, More than One Bedroom on Ground Floor, Walk-in Closet",3.0,2170.0,5.0,4.0,7.0,"Tile, Hardwood, Carpet, Vinyl / Linoleum",Forced air,None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer, In Utility Room","Underground/Basement, Garage - Attached",170731.0,2564.0,1988000.0
40265,Wall Furnace,None,"Garage Door Opener, Attached, Other",3,2.0,1299.0,4.0,4.0,4.0,Other,Wall Furnace,None,"Gas Water Heater, Gas Range, Refrigerator","Hookups Only, Laundry Room","Garage Door Opener, Attached, Other",487427.0,10993.0,550000.0
40266,Central,Central Air,Driveway,3,2.0,1346.0,4.0,2.0,6.0,Vinyl,Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Cooktop, Washer, Dryer",In Garage,Driveway,650249.0,8166.0,625000.0
40275,Central,Central Air,"Garage, Garage - Attached, Covered",4,3.0,2073.0,5.0,5.0,7.0,"Carpet, Tile, Laminate",Forced air,Central,Dishwasher,Inside Room,"Garage, Garage - Attached, Covered",283675.0,3133.0,470000.0
40277,"Other, Gas",None,"Garage, Garage - Detached, Covered",Master Suite / Retreat,3.0,1710.0,4.0,3.0,7.0,Hardwood,"Other, Gas",None,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Inside, In Utility Room","Garage, Garage - Detached, Covered",1574472.0,18817.0,1799000.0
40284,Central,Central Air,Driveway,2,1.0,672.0,2.0,5.0,4.0,Vinyl,Central,Central Air,"Dishwasher, Disposal, Gas Oven, Gas Range, Refrigerator, Vented Exhaust Fan","Gas Dryer Hookup, Inside, Washer Hookup",Driveway,275592.0,3558.0,625000.0
40289,"Forced Air, Natural Gas",Ceiling Fan(s),"Garage Door Opener, Detached, Garage, Off Street, Garage Faces Front",7,4.0,2497.0,7.0,7.0,8.0,"Hardwood Flrs Throughout, Tile","Forced Air, Natural Gas",Ceiling Fan(s),"Dryer, Tankless Water Heater, Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Refrigerator","220 Volt Outlet, Dryer, Laundry Closet, In Garage, Washer","Garage Door Opener, Detached, Garage, Off Street, Garage Faces Front",1336480.0,19526.0,1995000.0
40291,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",3,1.0,1027.0,9.0,9.0,9.0,"Wood, Other","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","Dryer, Washer, Inside, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",1463773.0,18187.0,1988000.0
40298,Central,Central Air,"Garage, Garage - Attached, Covered",3,2.0,1194.0,2.0,3.0,2.0,"Wood, Carpet, Tile, Laminate, Concrete","Forced air, Electric, Gas",Central,"Dishwasher, Microwave, Range / Oven","Gas Hook-up, In Garage, Sink, Inside Area","Garage, Garage - Attached, Covered",183519.0,2186.0,265000.0
40302,Central Forced Air,None,"Garage, Garage - Attached, Covered",4,2.0,1167.0,4.0,5.0,6.0,"Hardwood, Vinyl / Linoleum",Forced air,None,Refrigerator,In Garage,"Garage, Garage - Attached, Covered",1066410.0,12785.0,949000.0
40303,Forced Air,No Air Conditioning,Attached,3,2.0,1196.0,9.0,9.0,9.0,"Carpet, Hardwood, Linoleum",Forced Air,No Air Conditioning,"Gas Water Heater, Dishwasher, Electric Range",In Garage,Attached,73629.0,2197.0,920000.0
40310,Forced Air,None,"Detached, Off Street",2,2.0,1242.0,8.0,6.0,7.0,"Carpet, Hardwood, Laminate, Linoleum, Tile",Forced Air,None,"Dryer, Washer, Gas Water Heater, Dishwasher, Disposal, Gas Range, Microwave, Free-Standing Range, Refrigerator","Dryer, Gas Dryer Hookup, In Garage, Washer","Detached, Off Street",299598.0,5310.0,1100000.0
40314,"Central, Forced Air",Central Air,Asphalt,3,3.0,3346.0,8.0,7.0,5.0,"Carpet, Tile","Central, Forced Air",Central Air,"Dishwasher, Double Oven, Disposal, Gas Range, Propane Range","Laundry Room, Propane Dryer Hookup",Asphalt,895000.0,9325.0,1150000.0
40327,"Forced Air, Heating - 2+ Zones, Central Forced Air","Ceiling Fan, Multi-Zone, Central AC","Garage, On-street, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor, Walk-in Closet",3.0,3350.0,7.0,5.0,5.0,"Hardwood, Marble, Carpet","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Tub / Sink, Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, On-street, Covered",743876.0,9532.0,1325000.0
40344,Central,Central Air,"Garage, Garage - Attached, Covered",4,2.0,1926.0,5.0,5.0,6.0,Laminate,"Forced air, Electric, Gas",Central,Dishwasher,"Gas Hook-up, cabinets, Inside Room","Garage, Garage - Attached, Covered",351135.0,4260.0,399000.0
40348,Central,Central Air,"Garage, Carport, Garage - Attached, Covered",4,3.0,2283.0,5.0,5.0,7.0,"Carpet, Tile, Laminate","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave","Sink, cabinets, Inside Room","Garage, Carport, Garage - Attached, Covered",474396.0,5259.0,484900.0
40349,"Heating - 2+ Zones, Central Forced Air - Gas","Ceiling Fan, Multi-Zone, Central AC","Garage, Garage - Detached, On-street, Covered","Loft Bedroom, Walk-in Closet, Master Suite / Retreate - 2+",5.0,3669.0,5.0,5.0,6.0,"Tile, Hardwood, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","Tub / Sink, Washer / Dryer, Inside","Garage, Garage - Detached, On-street, Covered",1927067.0,23664.0,2850000.0
40353,Forced Air,Ceiling Fan(s),"Garage Door Opener, Attached, Garage Faces Side",5,3.0,2985.0,9.0,9.0,10.0,"Carpet, Hardwood, Tile",Forced Air,Ceiling Fan(s),"Dishwasher, Double Oven, Electric Range, Oven","Gas Dryer Hookup, Laundry Room","Garage Door Opener, Attached, Garage Faces Side",236979.0,3904.0,2649000.0
40354,Central Forced Air - Gas,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,2217.0,8.0,7.0,8.0,"Marble, Wood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room","Garage, Garage - Attached, Covered",1007523.0,13959.0,1498000.0
40355,Central Forced Air,"Multi-Zone, Central AC","Garage, Garage - Attached, Covered",Ground Floor Bedroom,4.0,3936.0,5.0,5.0,6.0,"Tile, Carpet, Travertine",Forced air,Central,"Garbage disposal, Microwave, Range / Oven, Refrigerator","Tub / Sink, Inside, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",1688971.0,20893.0,2278000.0
40361,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",3,4.0,1977.0,4.0,3.0,5.0,"Tile, Hardwood",Other,Central,"Dishwasher, Dryer, Freezer, Microwave","In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",637415.0,8656.0,1299000.0
40370,"Fireplace, Central Forced Air - Gas",None,"Garage, Garage - Attached","Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",2.0,1716.0,5.0,6.0,7.0,"Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room","Garage, Garage - Attached",396504.0,5506.0,889000.0
40375,Forced Air,Central AC,"Garage, Carport",Ground Floor Bedroom,1.0,900.0,6.0,5.0,5.0,"Tile, Carpet",Forced air,Central,"Garbage disposal, Range / Oven","Inside, Electricity Hookup (220V)","Garage, Carport",439127.0,5000.0,614950.0
40379,Central Forced Air - Gas,"Multi-Zone, Central AC","Garage, Garage - Attached","Master Suite / Retreat, Walk-in Closet",4.0,3579.0,8.0,5.0,6.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Dryer, Washer, Tub / Sink, Upper Floor, Gas Hookup, Inside","Garage, Garage - Attached",1160000.0,14818.0,2988000.0
40387,Central Forced Air - Gas,"Ceiling Fan, Window / Wall Unit","Garage, Garage - Attached, Covered",Ground Floor Bedroom,2.0,1398.0,5.0,7.0,9.0,"Tile, Hardwood","Forced air, Gas",Wall,"Dishwasher, Garbage disposal, Range / Oven","In Garage, Gas Hookup, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",73878.0,2312.0,949000.0
40389,Central,Central Air,Detached Carport,3,2.0,1760.0,7.0,7.0,4.0,"Carpet, Wood",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Water Purifier, Washer, Dryer",Laundry Room,Detached Carport,1153884.0,14086.0,1488000.0
40395,Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",Walk-in Closet,3.0,2427.0,6.0,5.0,7.0,"Tile, Carpet",Forced air,Central,"Dishwasher, Dryer, Microwave, Range / Oven, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",945710.0,10672.0,1075000.0
40400,Pellet Stove,Other-Rmks,"Garage - Attached, Covered",3,3.0,2050.0,4.0,4.0,7.0,"Wood, Carpet, Linoleum/Vinyl","Stove, Wood / Pellet",Other,"Dishwasher, Garbage disposal, Range / Oven","cabinets, Inside Area","Garage - Attached, Covered",184108.0,2040.0,439900.0
40401,"Central, Fireplace(s)",Central Air,"Built-In Storage, Garage - Two Door, On Site, On Street",3,2.0,2065.0,5.0,6.0,8.0,Wood,"Central, Fireplace(s)",Central Air,"Gas Range, Gas Water Heater, Indoor Grill, Range Hood, Refrigerator, Water Heater","Gas & Electric Dryer Hookup, Gas Dryer Hookup, In Kitchen, Inside","Built-In Storage, Garage - Two Door, On Site, On Street",108892.0,1471.0,1325000.0
40407,Central Forced Air - Gas,Central AC,"Garage, Garage - Detached, Covered",2,1.0,1199.0,4.0,3.0,5.0,"Tile, Hardwood, Concrete","Forced air, Gas",Central,Dishwasher,"Washer / Dryer, Inside","Garage, Garage - Detached, Covered",594877.0,8224.0,1188888.0
40408,"Central, Forced Air","Central Air, Dual, Electric","Boat, Covered, Direct Access, Concrete, Garage, Garage Faces Side, Garage - Two Door, Garage Door Opener, Parking Space, RV Access/Parking",3,5.0,3748.0,8.0,7.0,5.0,See Remarks,"Central, Forced Air","Central Air, Dual, Electric","Dishwasher, Double Oven, Disposal, Propane Cooktop, Range Hood, Refrigerator, Water Heater Central, Water Heater",Laundry Room,"Boat, Covered, Direct Access, Concrete, Garage, Garage Faces Side, Garage - Two Door, Garage Door Opener, Parking Space, RV Access/Parking",1121510.0,11777.0,1410000.0
40416,Central Forced Air - Gas,Central AC,"Carport, Garage - Attached, Covered",3,2.0,1240.0,8.0,7.0,8.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer","Carport, Garage - Attached, Covered",1290300.0,17652.0,1195000.0
40419,Central Forced Air - Gas,Ceiling Fan,"Garage, Garage - Attached, Covered",4,2.0,1598.0,7.0,6.0,6.0,"Tile, Other","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",988380.0,13628.0,1187000.0
40424,Central,Central Air,"Garage Door Opener, Garage, Garage - Two Door, Covered",4,3.0,2510.0,7.0,7.0,6.0,Wood,Central,Central Air,"Dishwasher, Disposal",In Garage,"Garage Door Opener, Garage, Garage - Two Door, Covered",690345.0,8531.0,2495000.0
40435,"Heating - 2+ Zones, Solar, Radiant Floors, Individual Room Controls, Stove - Propane","Ceiling Fan, Multi-Zone, Window / Wall Unit",Carport,"Master Suite / Retreat, Walk-in Closet",3.0,2744.0,6.0,5.0,8.0,"Hardwood, Laminate, Carpet, Stone, Vinyl / Linoleum",Radiant,Wall,"Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room, Electricity Hookup (110V)",Carport,801162.0,9061.0,1128000.0
40453,Central Forced Air - Gas,"Multi-Zone, Central AC, Window / Wall Unit","Garage, Garage - Attached, Covered",5,4.0,3467.0,7.0,6.0,7.0,"Tile, Hardwood","Forced air, Gas","Central, Wall","Microwave, Refrigerator","Tub / Sink, Gas Hookup, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",2145822.0,27120.0,3750000.0
40457,"Forced air, Gas, Solar","Central, Solar","Potential RV Parking, Work/Shop Area, Auto Opener",3,4.0,3595.0,7.0,5.0,6.0,"Carpet, Tile, Vinyl","Forced air, Gas, Solar","Central, Solar","Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer",Inside,"Garage, Garage - Attached, Covered",447372.0,9692.0,549000.0
40460,Central,"Central Air, Whole House Fan, High Efficiency","Concrete, Garage - Single Door, Garage Door Opener, Workshop in Garage",4,2.0,1604.0,5.0,2.0,5.0,Laminate,Central,"Central Air, Whole House Fan, High Efficiency","Dishwasher, Electric Range, Gas Range, Microwave","Gas Dryer Hookup, Inside, Washer Hookup","Concrete, Garage - Single Door, Garage Door Opener, Workshop in Garage",162455.0,2185.0,450000.0
40462,Central,Central Air,"Garage, Garage - Attached, Covered",4,3.0,2857.0,7.0,3.0,4.0,Wood,"Forced air, Electric",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Upper Level, Inside Area","Garage, Garage - Attached, Covered",283490.0,3678.0,489000.0
40469,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",Master Bedroom on Ground Floor,2.0,1562.0,7.0,6.0,8.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","In Garage, Dryer, Washer, Tub / Sink, Inside, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",1428145.0,17321.0,2188000.0
40471,Central,Central Air,"Direct Access, Driveway",4,4.0,2878.0,5.0,9.0,9.0,"Carpet, Tile, Wood",Central,Central Air,"Dishwasher, Gas Cooktop, Microwave, Range Hood, Refrigerator","Laundry Room, Upper Level","Direct Access, Driveway",883119.0,13298.0,1299900.0
40472,"Space Heater, Fireplace(s), Wood Stove",None,Garage - Attached,2,2.0,1890.0,6.0,3.0,4.0,Wood,"Space Heater, Fireplace(s), Wood Stove",None,"Electric Oven, Electric Range, Microwave, Refrigerator",Laundry Room,Garage - Attached,215480.0,2514.0,345000.0
40479,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered",Walk-in Closet,4.0,4200.0,6.0,9.0,10.0,"Tile, Carpet, Stone","Forced air, Gas",None,"Dryer, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",48700.0,999.0,1995000.0
40480,"Forced Air, Natural Gas",Central Air,"Concrete, Garage - Two Door",3,2.0,1432.0,7.0,7.0,7.0,"Vinyl, Carpet, Tile","Forced Air, Natural Gas",Central Air,"Double Oven, Dishwasher, Range Hood","Gas Dryer Hookup, Common Area","Concrete, Garage - Two Door",91626.0,1140.0,1200000.0
40487,Zoned,Zoned,"Garage Door Opener, Attached, Int Access From Garage, Workshop in Garage, Garage Faces Front",4,3.0,2814.0,9.0,7.0,8.0,"Carpet, Hardwood, Tile",Zoned,Zoned,"Dishwasher, Double Oven, Disposal, Gas Range, Plumbed For Ice Maker, Free-Standing Range, Refrigerator",Hookups Only,"Garage Door Opener, Attached, Int Access From Garage, Workshop in Garage, Garage Faces Front",836925.0,10819.0,1299000.0
40488,Central,Central Air,"Garage, Garage - Attached, Covered",3,2.0,1238.0,7.0,5.0,7.0,"Carpet, Laminate, Linoleum/Vinyl","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven",Inside Area,"Garage, Garage - Attached, Covered",240840.0,3756.0,347000.0
40489,Central,Central Air,"Driveway, Garage",3,2.0,1268.0,4.0,2.0,5.0,"Carpet, Tile",Central,Central Air,Gas Water Heater,In Garage,"Driveway, Garage",160562.0,2251.0,339900.0
40491,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Bedroom on Ground Floor",2.0,1561.0,8.0,9.0,10.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",2448000.0,29973.0,2298000.0
40495,Central Forced Air,Central AC,"Carport, Garage",3,2.0,1516.0,4.0,3.0,7.0,"Tile, Hardwood, Carpet","None, Forced air",Central,"Dryer, Range / Oven, Washer",Washer / Dryer,"Carport, Garage",184630.0,2438.0,1550000.0
40496,Central Forced Air,"Multi-Zone, Central AC","Garage, Garage - Attached, On-street, Covered","Ground Floor Bedroom, Walk-in Closet, More than One Master Bedroom, Master Suite / Retreate - 2+",6.0,3966.0,5.0,4.0,5.0,"Tile, Hardwood","Wall, Gas",None,"Dishwasher, Range / Oven","Upper Floor, Inside","Garage, Garage - Attached, On-street, Covered",1684275.0,21803.0,2989000.0
40520,Central,"Central Air, See Remarks","Driveway, Garage",2,1.0,902.0,2.0,5.0,4.0,Wood,Central,"Central Air, See Remarks","Dishwasher, Freezer, Gas Range, Refrigerator",Inside,"Driveway, Garage",643091.0,7932.0,749000.0
40522,Central,Central Air,"Garage - Attached, Covered",6,3.0,2604.0,6.0,7.0,6.0,"Carpet, Vinyl","Other, Electric",Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven","Sink, cabinets, Inside Room","Garage - Attached, Covered",436915.0,4726.0,489000.0
40524,Zoned,Zoned,Other,3,2.0,1284.0,7.0,7.0,8.0,Hardwood Flrs Throughout,Zoned,Zoned,"Dryer, Washer, Electric Water Heater, Tankless Water Heater, Dishwasher, Microwave","Dryer, Washer",Other,37747.0,3401.0,1095000.0
40527,"Gas, Propane",None,"Garage, Garage - Attached, Covered",4,3.0,3195.0,6.0,5.0,6.0,"Tile, Carpet",Gas,None,"Garbage disposal, Refrigerator",In Utility Room,"Garage, Garage - Attached, Covered",1333153.0,16778.0,1500000.0
